English,Japanese
as a result,結果として
look up,を調べる
available,利用できる
at first,最初は
in the past,過去に
nowadays,最近，近頃
information,情報
drop by,ちょっと立ち寄る
gain,得る
traditional,伝統的な
quality,質，特性
improve,を改善する，改良する
however,しかしながら，どんなに～でも
collect,集める
extra,余分の，特別の
clothing,衣料品
comfortable,心地の良い，快適な
disappoint,がっかりさせる
instead,代わりに，その代わり
originally,はじめは，元々は
take part in,に参加する
dress up,着飾る
certainly,確かに，間違いなく
find out,見つけ出す
search for,を探索する
come up with,を思いつく，を考え出す
company,会社
details,詳細
melt,溶ける，を溶かす
direction,方向，方角
injury,怪我，負傷
silence,沈黙
tight,狭い，締まった
protect,を守る、保護する
sharp,鋭い
behind,背後に
bother,面倒／迷惑をかける
emergency,緊急，急ぎ
waste,を浪費する／浪費，廃棄物
amount,量，額
advantage,有利，利点
object,物体
add,足し算する，合計する
surface,表面，水面
destroy,を破壊する
knowledge,知識
continue,をし続ける
immediately,即座に
correct,正確な／を訂正する
government,政府，行政府，内閣
raise,を上げる，持ち上げる
hurt,を傷つける
experiment,実験，試み
fail,失敗する
material,材料，原料
recently,最近，このごろ
spread,を広げる，広がる
traffic,交通，運輸
modern,現代的な，現代の
reduce,を減らす，縮小する
distance,距離
opportunity,機会，好機
activity,活動
abroad,外国で，外国へ
prefer,より好む
mention,言及する
although,だけれども
climate,気候
condition,状態，条件
impression,印象
item,項目，品目
profit,利益，もうけ
survey,調査／を見渡す
sink,沈む
illness,病気
flavor,風味，味
expert,専門家
borrow,を借りる
notice,気づく／通知
quit,やめる
silly,馬鹿な，愚かな
wealthy,裕福な
behave,振る舞う
decrease,減少する，を減らす／減少
divide,を分割する，分ける
ignore,を無視する
judge,を判断する／裁判官
organize,を組織する，を編成する
overcome,を克服する
narrow,幅が狭い
attract,引きつける
breathe,呼吸をする
confuse,を混乱させる，区別がつかない
reserve,を取っておく
asleep,眠っている
nervous,神経質な，びくびくして
discuss,について議論する，検討する
rarely,めったに～ない
thanks to,のおかげで
anyway,ともかく
by the time,するまでには
in particular,特に，とりわけ
take over,を引き継ぐ
in addition,追加として，さらに
be filled with,で満たされている
even though,～だけれども，～であるのに
refrigerator,冷蔵庫
and so on,などなど
at most,多くとも，せいぜい
do me a favor,お願いをする
get along with,とうまくやっていく
get back,取り戻す
in spite of,にもかかわらず
keep in mind,を心に留めておく
on the way to,道の途中で
put down,置く
rely on,に頼る，を当てにする
run out of,を使い果たす
so far,これまでは
appeal to,に訴える
as well,同様に，その上
be good at,～が上手である
be responsible for,に対して責任がある
call off,を中止する
in case,万一に備えて
on average,平均して
on foot,歩いて
out of order,故障して
on purpose,故意に，わざと
stay away from,離れている
suffer from,で苦しむ，悩まされる
apologize,謝る，謝罪する
succeed in,に成功する
after all,結局
be popular with,に人気がある
be sick of,にうんざりしている
be unlikely to,起こりそうにない
catch up with,に追いつく
differ from,とは違って，との違い
in advance,前もって，事前に
in a hurry,急いで
participate in,に参加する
sooner or later,遅かれ早かれ
try on,試着する
similar to,に似ている
show off,見せびらかす
turn down,断る
fill out,書き込む
mostly,主に，ほとんど
dig,を掘る
muscle,筋肉
bite,を噛む，かじる
treat,を扱う，待遇する
rather,むしろ，どちらかといえば
apparently,明らかに
spend,を費やす，使う
discover,を発見する
discovery,発見
arrival,到着
degree,程度，度
achieve,を達成する，到達する
attitude,態度
explain,を説明する
establish,を設立する，創設する
tax,税金
belief,信念
demonstrate,実証する，証明する
ancient,古代の，大昔の
formal,形式の，形式的な
allow,を許可する，許す
article,記事
contain,を含む，が入っている
temperature,温度，気温
common,共通の，共同の
mean,を意味する
hardly,ほとんどない
unable,できない
argument,議論，口論
ancestor,祖先，先祖
capital,資本，首都
disaster,災害，災難
height,高さ
ideal,理想
popularity,人気，流行
blow,吹く
decision,決定，結論
agent,代理人
praise,をほめる／賞賛
punish,を罰する，懲らしめる
chemical,化学物質／化学の
negative,否定の
consist,成り立つ
criticize,を批評する
import,輸入する
promote,を促進する
recover,回復する
release,解き放つ
translate,を翻訳する，通訳する
warn,警告する
childhood,子供時代
thought,考えること，意見
accomplish,を成し遂げる，完成する
combine,を結合させる，合同する
complain,不満を言う
favorite,特に好きな
responsible,責任がある，責任が伴う
tiny,ごく小さい
look down on,を下に見る
get rid of,を取り除く
instead of,の代わりに
plenty of,たくさんの
stomach,腹
vision,未来像
expansion,拡張，拡大
occur,発生する，起こる
indeed,実に，全く
solution,解決法，解明
ease,容易さ，気楽さ
elect,を選出する
unit,単位
fact,事実
educational,教育の
manner,やり方，方法
suffering,苦しみ
crucial,重要な，決定的な
tear,を引き裂く
govern,統治する
enforcement,執行，実施
brain,頭脳，脳
talented,才能のある
research,研究／研究する
firm,しっかりした，堅い
community,共同社会
force,力，勢い
past,過去の，終わった
right,正しい
impressive,印象的な
salary,給与
deal,を扱う，分配する
prompt,即座の
let A do,Aにさせる
vote,投票する／投票権
president,社長，大統領
range,範囲，幅
vital,極めて重要な，生命の
estate,財産
responsibility,責任
unknown,未知の
grant,給付金
perceive,知覚する
especially,特に
client,顧客
mysterious,不可解な，不思議な
steel,鋼鉄
concept,概念，観念
nevertheless,にも関わらず
attribute,に帰する
prevent,を妨げる，予防する
manufacturer,製造元，製造業者
effect,効果，影響，結果
million,100万
encounter,遭遇する
accuse,告発する
briefly,簡単に，手短に
so-called,いわゆる
global,地球の
according to,によると
lack,不足，欠乏
essay,論文，小説
approach,に近づく，接近する
bear,我慢する，を圧迫する
natural,当然の，自然の
administration,機関，運営
audience,聴衆，観客
production,生産，製造
qualify,に資格を与える
intention,意図
previously,以前は，前もって
language,言語
fee,料金，手数料
nor,もない
negotiation,交渉，話し合い
automobile,自動車
dust,ほこり
extremely,極端に，過度に
echo,こだま
detailed,詳細の
maximum,最大，最大の
pan,フライパン
improvement,改善，改良
